year,city,country,avg_temp,gbl_avg_temp
1877,Porto Alegre,Brazil,18.56,8.54
1878,Porto Alegre,Brazil,17.91,8.83
1879,Porto Alegre,Brazil,17.49,8.17
1880,Porto Alegre,Brazil,17.74,8.12
1881,Porto Alegre,Brazil,17.82,8.27
1882,Porto Alegre,Brazil,17.28,8.13
1883,Porto Alegre,Brazil,17.55,7.98
1884,Porto Alegre,Brazil,17.62,7.77
1885,Porto Alegre,Brazil,17.73,7.92
1886,Porto Alegre,Brazil,17.28,7.95
1887,Porto Alegre,Brazil,17.62,7.91
1888,Porto Alegre,Brazil,18.20,8.09
1889,Porto Alegre,Brazil,17.96,8.32
1890,Porto Alegre,Brazil,17.37,7.97
1891,Porto Alegre,Brazil,18.00,8.02
1892,Porto Alegre,Brazil,17.73,8.07
1893,Porto Alegre,Brazil,17.18,8.06
1894,Porto Alegre,Brazil,17.69,8.16
1895,Porto Alegre,Brazil,18.26,8.15
1896,Porto Alegre,Brazil,18.46,8.21
1897,Porto Alegre,Brazil,18.27,8.29
1898,Porto Alegre,Brazil,17.61,8.18
1899,Porto Alegre,Brazil,18.37,8.40
1900,Porto Alegre,Brazil,18.68,8.50
1901,Porto Alegre,Brazil,17.77,8.54
1902,Porto Alegre,Brazil,18.52,8.30
1903,Porto Alegre,Brazil,18.18,8.22
1904,Porto Alegre,Brazil,17.77,8.09
1905,Porto Alegre,Brazil,17.80,8.23
1906,Porto Alegre,Brazil,18.40,8.38
1907,Porto Alegre,Brazil,17.79,7.95
1908,Porto Alegre,Brazil,17.55,8.19
1909,Porto Alegre,Brazil,17.40,8.18
1910,Porto Alegre,Brazil,17.54,8.22
1911,Porto Alegre,Brazil,17.08,8.18
1912,Porto Alegre,Brazil,17.90,8.17
1913,Porto Alegre,Brazil,18.45,8.30
1914,Porto Alegre,Brazil,18.72,8.59
1915,Porto Alegre,Brazil,18.30,8.59
1916,Porto Alegre,Brazil,17.79,8.23
1917,Porto Alegre,Brazil,17.49,8.02
1918,Porto Alegre,Brazil,17.99,8.13
1919,Porto Alegre,Brazil,18.62,8.38
1920,Porto Alegre,Brazil,18.25,8.36
1921,Porto Alegre,Brazil,17.92,8.57
1922,Porto Alegre,Brazil,18.11,8.41
1923,Porto Alegre,Brazil,18.15,8.42
1924,Porto Alegre,Brazil,17.14,8.51
1925,Porto Alegre,Brazil,18.24,8.53
1926,Porto Alegre,Brazil,18.84,8.73
1927,Porto Alegre,Brazil,18.32,8.52
1928,Porto Alegre,Brazil,18.37,8.63
1929,Porto Alegre,Brazil,18.17,8.24
1930,Porto Alegre,Brazil,18.47,8.63
1931,Porto Alegre,Brazil,17.82,8.72
1932,Porto Alegre,Brazil,18.67,8.71
1933,Porto Alegre,Brazil,18.11,8.34
1934,Porto Alegre,Brazil,18.29,8.63
1935,Porto Alegre,Brazil,18.18,8.52
1936,Porto Alegre,Brazil,18.47,8.55
1937,Porto Alegre,Brazil,17.92,8.70
1938,Porto Alegre,Brazil,18.15,8.86
1939,Porto Alegre,Brazil,18.36,8.76
1940,Porto Alegre,Brazil,18.64,8.76
1941,Porto Alegre,Brazil,18.03,8.77
1942,Porto Alegre,Brazil,17.91,8.73
1943,Porto Alegre,Brazil,18.48,8.76
1944,Porto Alegre,Brazil,18.70,8.85
1945,Porto Alegre,Brazil,18.60,8.58
1946,Porto Alegre,Brazil,18.22,8.68
1947,Porto Alegre,Brazil,18.09,8.80
1948,Porto Alegre,Brazil,18.35,8.75
1949,Porto Alegre,Brazil,18.39,8.59
1950,Porto Alegre,Brazil,18.40,8.37
1951,Porto Alegre,Brazil,18.18,8.63
1952,Porto Alegre,Brazil,18.41,8.64
1953,Porto Alegre,Brazil,18.58,8.87
1954,Porto Alegre,Brazil,18.32,8.56
1955,Porto Alegre,Brazil,17.87,8.63
1956,Porto Alegre,Brazil,17.55,8.28
1957,Porto Alegre,Brazil,18.43,8.73
1958,Porto Alegre,Brazil,18.77,8.77
1959,Porto Alegre,Brazil,18.63,8.73
1960,Porto Alegre,Brazil,18.33,8.58
1961,Porto Alegre,Brazil,19.12,8.80
1962,Porto Alegre,Brazil,17.86,8.75
1963,Porto Alegre,Brazil,18.78,8.86
1964,Porto Alegre,Brazil,17.79,8.41
1965,Porto Alegre,Brazil,18.49,8.53
1966,Porto Alegre,Brazil,18.30,8.60
1967,Porto Alegre,Brazil,18.83,8.70
1968,Porto Alegre,Brazil,18.42,8.52
1969,Porto Alegre,Brazil,18.42,8.60
1970,Porto Alegre,Brazil,18.69,8.70
1971,Porto Alegre,Brazil,18.18,8.60
1972,Porto Alegre,Brazil,18.50,8.50
1973,Porto Alegre,Brazil,18.49,8.95
1974,Porto Alegre,Brazil,18.35,8.47
1975,Porto Alegre,Brazil,18.40,8.74
1976,Porto Alegre,Brazil,17.90,8.35
1977,Porto Alegre,Brazil,19.43,8.85
1978,Porto Alegre,Brazil,18.63,8.69
1979,Porto Alegre,Brazil,18.01,8.73
1980,Porto Alegre,Brazil,18.72,8.98
1981,Porto Alegre,Brazil,18.86,9.17
1982,Porto Alegre,Brazil,19.00,8.64
1983,Porto Alegre,Brazil,18.44,9.03
1984,Porto Alegre,Brazil,18.67,8.69
1985,Porto Alegre,Brazil,19.23,8.66
1986,Porto Alegre,Brazil,19.26,8.83
1987,Porto Alegre,Brazil,18.47,8.99
1988,Porto Alegre,Brazil,18.07,9.20
1989,Porto Alegre,Brazil,18.61,8.92
1990,Porto Alegre,Brazil,18.47,9.23
1991,Porto Alegre,Brazil,19.11,9.18
1992,Porto Alegre,Brazil,18.72,8.84
1993,Porto Alegre,Brazil,18.69,8.87
1994,Porto Alegre,Brazil,19.15,9.04
1995,Porto Alegre,Brazil,18.89,9.35
1996,Porto Alegre,Brazil,18.63,9.04
1997,Porto Alegre,Brazil,19.12,9.20
1998,Porto Alegre,Brazil,18.49,9.52
1999,Porto Alegre,Brazil,18.39,9.29
2000,Porto Alegre,Brazil,18.65,9.20
2001,Porto Alegre,Brazil,19.73,9.41
2002,Porto Alegre,Brazil,19.49,9.57
2003,Porto Alegre,Brazil,19.07,9.53
2004,Porto Alegre,Brazil,18.75,9.32
2005,Porto Alegre,Brazil,19.42,9.70
2006,Porto Alegre,Brazil,19.35,9.53
2007,Porto Alegre,Brazil,19.05,9.73
2008,Porto Alegre,Brazil,18.80,9.43
2009,Porto Alegre,Brazil,18.84,9.51
2010,Porto Alegre,Brazil,19.01,9.70
2011,Porto Alegre,Brazil,18.82,9.52
2012,Porto Alegre,Brazil,19.72,9.51
2013,Porto Alegre,Brazil,17.84,9.61
1832,Recife,Brazil,24.29,7.45
1833,Recife,Brazil,24.93,8.01
1834,Recife,Brazil,24.79,8.15
1835,Recife,Brazil,23.97,7.39
1836,Recife,Brazil,24.36,7.70
1837,Recife,Brazil,24.06,7.38
1838,Recife,Brazil,24.16,7.51
1839,Recife,Brazil,24.26,7.63
1840,Recife,Brazil,24.52,7.80
1841,Recife,Brazil,24.37,7.69
1842,Recife,Brazil,24.75,8.02
1843,Recife,Brazil,24.87,8.17
1844,Recife,Brazil,,7.65
1845,Recife,Brazil,,7.85
1846,Recife,Brazil,,8.55
1847,Recife,Brazil,,8.09
1848,Recife,Brazil,,7.98
1849,Recife,Brazil,,7.98
1850,Recife,Brazil,,7.90
1851,Recife,Brazil,24.81,8.18
1852,Recife,Brazil,24.77,8.10
1853,Recife,Brazil,24.76,8.04
1854,Recife,Brazil,24.92,8.21
1855,Recife,Brazil,24.95,8.11
1856,Recife,Brazil,25.09,8.00
1857,Recife,Brazil,24.90,7.76
1858,Recife,Brazil,24.56,8.10
1859,Recife,Brazil,26.24,8.25
1860,Recife,Brazil,,7.96
1861,Recife,Brazil,24.51,7.85
1862,Recife,Brazil,24.23,7.56
1863,Recife,Brazil,24.69,8.11
1864,Recife,Brazil,24.56,7.98
1865,Recife,Brazil,24.65,8.18
1866,Recife,Brazil,24.75,8.29
1867,Recife,Brazil,24.97,8.44
1868,Recife,Brazil,24.99,8.25
1869,Recife,Brazil,25.16,8.43
1870,Recife,Brazil,24.96,8.20
1871,Recife,Brazil,24.85,8.12
1872,Recife,Brazil,24.83,8.19
1873,Recife,Brazil,26.20,8.35
1874,Recife,Brazil,25.15,8.43
1875,Recife,Brazil,24.58,7.86
1876,Recife,Brazil,,8.08
1877,Recife,Brazil,,8.54
1878,Recife,Brazil,,8.83
1879,Recife,Brazil,,8.17
1880,Recife,Brazil,24.88,8.12
1881,Recife,Brazil,25.16,8.27
1882,Recife,Brazil,24.21,8.13
1883,Recife,Brazil,,7.98
1884,Recife,Brazil,24.34,7.77
1885,Recife,Brazil,24.53,7.92
1886,Recife,Brazil,24.49,7.95
1887,Recife,Brazil,24.61,7.91
1888,Recife,Brazil,24.75,8.09
1889,Recife,Brazil,,8.32
1890,Recife,Brazil,24.68,7.97
1891,Recife,Brazil,24.84,8.02
1892,Recife,Brazil,24.71,8.07
1893,Recife,Brazil,24.29,8.06
1894,Recife,Brazil,24.88,8.16
1895,Recife,Brazil,24.67,8.15
1896,Recife,Brazil,24.79,8.21
1897,Recife,Brazil,24.58,8.29
1898,Recife,Brazil,25.04,8.18
1899,Recife,Brazil,24.43,8.40
1900,Recife,Brazil,25.35,8.50
1901,Recife,Brazil,24.98,8.54
1902,Recife,Brazil,25.09,8.30
1903,Recife,Brazil,25.06,8.22
1904,Recife,Brazil,24.53,8.09
1905,Recife,Brazil,24.87,8.23
1906,Recife,Brazil,24.78,8.38
1907,Recife,Brazil,24.98,7.95
1908,Recife,Brazil,25.38,8.19
1909,Recife,Brazil,25.17,8.18
1910,Recife,Brazil,24.86,8.22
1911,Recife,Brazil,24.97,8.18
1912,Recife,Brazil,24.81,8.17
1913,Recife,Brazil,24.93,8.30
1914,Recife,Brazil,24.75,8.59
1915,Recife,Brazil,25.59,8.59
1916,Recife,Brazil,24.76,8.23
1917,Recife,Brazil,24.53,8.02
1918,Recife,Brazil,24.77,8.13
1919,Recife,Brazil,25.22,8.38
1920,Recife,Brazil,25.04,8.36
1921,Recife,Brazil,24.81,8.57
1922,Recife,Brazil,24.83,8.41
1923,Recife,Brazil,25.03,8.42
1924,Recife,Brazil,24.92,8.51
1925,Recife,Brazil,24.94,8.53
1926,Recife,Brazil,25.26,8.73
1927,Recife,Brazil,25.25,8.52
1928,Recife,Brazil,25.18,8.63
1929,Recife,Brazil,25.06,8.24
1930,Recife,Brazil,25.16,8.63
1931,Recife,Brazil,25.42,8.72
1932,Recife,Brazil,25.25,8.71
1933,Recife,Brazil,25.21,8.34
1934,Recife,Brazil,25.10,8.63
1935,Recife,Brazil,25.17,8.52
1936,Recife,Brazil,25.05,8.55
1937,Recife,Brazil,25.51,8.70
1938,Recife,Brazil,25.37,8.86
1939,Recife,Brazil,25.28,8.76
1940,Recife,Brazil,25.14,8.76
1941,Recife,Brazil,25.58,8.77
1942,Recife,Brazil,25.43,8.73
1943,Recife,Brazil,25.07,8.76
1944,Recife,Brazil,25.09,8.85
1945,Recife,Brazil,25.25,8.58
1946,Recife,Brazil,25.35,8.68
1947,Recife,Brazil,25.34,8.80
1948,Recife,Brazil,25.34,8.75
1949,Recife,Brazil,25.33,8.59
1950,Recife,Brazil,25.08,8.37
1951,Recife,Brazil,25.21,8.63
1952,Recife,Brazil,25.35,8.64
1953,Recife,Brazil,25.31,8.87
1954,Recife,Brazil,25.18,8.56
1955,Recife,Brazil,24.96,8.63
1956,Recife,Brazil,25.16,8.28
1957,Recife,Brazil,25.22,8.73
1958,Recife,Brazil,25.71,8.77
1959,Recife,Brazil,25.58,8.73
1960,Recife,Brazil,25.75,8.58
1961,Recife,Brazil,25.22,8.80
1962,Recife,Brazil,25.37,8.75
1963,Recife,Brazil,25.32,8.86
1964,Recife,Brazil,25.37,8.41
1965,Recife,Brazil,25.26,8.53
1966,Recife,Brazil,25.51,8.60
1967,Recife,Brazil,25.16,8.70
1968,Recife,Brazil,24.93,8.52
1969,Recife,Brazil,25.51,8.60
1970,Recife,Brazil,25.30,8.70
1971,Recife,Brazil,25.36,8.60
1972,Recife,Brazil,25.58,8.50
1973,Recife,Brazil,26.08,8.95
1974,Recife,Brazil,25.30,8.47
1975,Recife,Brazil,25.31,8.74
1976,Recife,Brazil,25.06,8.35
1977,Recife,Brazil,25.43,8.85
1978,Recife,Brazil,25.23,8.69
1979,Recife,Brazil,25.37,8.73
1980,Recife,Brazil,25.27,8.98
1981,Recife,Brazil,25.17,9.17
1982,Recife,Brazil,25.39,8.64
1983,Recife,Brazil,25.76,9.03
1984,Recife,Brazil,25.71,8.69
1985,Recife,Brazil,25.46,8.66
1986,Recife,Brazil,25.29,8.83
1987,Recife,Brazil,25.87,8.99
1988,Recife,Brazil,25.70,9.20
1989,Recife,Brazil,25.60,8.92
1990,Recife,Brazil,25.76,9.23
1991,Recife,Brazil,25.57,9.18
1992,Recife,Brazil,25.61,8.84
1993,Recife,Brazil,26.06,8.87
1994,Recife,Brazil,26.05,9.04
1995,Recife,Brazil,26.05,9.35
1996,Recife,Brazil,25.94,9.04
1997,Recife,Brazil,25.96,9.20
1998,Recife,Brazil,26.63,9.52
1999,Recife,Brazil,25.88,9.29
2000,Recife,Brazil,25.71,9.20
2001,Recife,Brazil,26.08,9.41
2002,Recife,Brazil,26.01,9.57
2003,Recife,Brazil,26.16,9.53
2004,Recife,Brazil,25.94,9.32
2005,Recife,Brazil,26.27,9.70
2006,Recife,Brazil,26.26,9.53
2007,Recife,Brazil,25.95,9.73
2008,Recife,Brazil,25.96,9.43
2009,Recife,Brazil,26.30,9.51
2010,Recife,Brazil,26.30,9.70
2011,Recife,Brazil,25.89,9.52
2012,Recife,Brazil,26.13,9.51
2013,Recife,Brazil,26.40,9.61
1832,Rio De Janeiro,Brazil,23.05,7.45
1833,Rio De Janeiro,Brazil,24.11,8.01
1834,Rio De Janeiro,Brazil,23.27,8.15
1835,Rio De Janeiro,Brazil,22.73,7.39
1836,Rio De Janeiro,Brazil,22.91,7.70
1837,Rio De Janeiro,Brazil,22.29,7.38
1838,Rio De Janeiro,Brazil,22.81,7.51
1839,Rio De Janeiro,Brazil,22.54,7.63
1840,Rio De Janeiro,Brazil,23.32,7.80
1841,Rio De Janeiro,Brazil,22.97,7.69
1842,Rio De Janeiro,Brazil,23.41,8.02
1843,Rio De Janeiro,Brazil,23.55,8.17
1844,Rio De Janeiro,Brazil,,7.65
1845,Rio De Janeiro,Brazil,,7.85
1846,Rio De Janeiro,Brazil,,8.55
1847,Rio De Janeiro,Brazil,,8.09
1848,Rio De Janeiro,Brazil,,7.98
1849,Rio De Janeiro,Brazil,,7.98
1850,Rio De Janeiro,Brazil,,7.90
1851,Rio De Janeiro,Brazil,23.53,8.18
1852,Rio De Janeiro,Brazil,23.74,8.10
1853,Rio De Janeiro,Brazil,23.76,8.04
1854,Rio De Janeiro,Brazil,23.83,8.21
1855,Rio De Janeiro,Brazil,23.89,8.11
1856,Rio De Janeiro,Brazil,22.83,8.00
1857,Rio De Janeiro,Brazil,23.46,7.76
1858,Rio De Janeiro,Brazil,22.37,8.10
1859,Rio De Janeiro,Brazil,23.04,8.25
1860,Rio De Janeiro,Brazil,23.91,7.96
1861,Rio De Janeiro,Brazil,23.04,7.85
1862,Rio De Janeiro,Brazil,23.04,7.56
1863,Rio De Janeiro,Brazil,22.95,8.11
1864,Rio De Janeiro,Brazil,23.02,7.98
1865,Rio De Janeiro,Brazil,22.89,8.18
1866,Rio De Janeiro,Brazil,23.10,8.29
1867,Rio De Janeiro,Brazil,23.26,8.44
1868,Rio De Janeiro,Brazil,24.32,8.25
1869,Rio De Janeiro,Brazil,24.20,8.43
1870,Rio De Janeiro,Brazil,24.22,8.20
1871,Rio De Janeiro,Brazil,23.84,8.12
1872,Rio De Janeiro,Brazil,23.75,8.19
1873,Rio De Janeiro,Brazil,23.94,8.35
1874,Rio De Janeiro,Brazil,23.23,8.43
1875,Rio De Janeiro,Brazil,22.85,7.86
1876,Rio De Janeiro,Brazil,23.05,8.08
1877,Rio De Janeiro,Brazil,23.80,8.54
1878,Rio De Janeiro,Brazil,24.30,8.83
1879,Rio De Janeiro,Brazil,22.84,8.17
1880,Rio De Janeiro,Brazil,24.01,8.12
1881,Rio De Janeiro,Brazil,23.29,8.27
1882,Rio De Janeiro,Brazil,22.65,8.13
1883,Rio De Janeiro,Brazil,22.98,7.98
1884,Rio De Janeiro,Brazil,22.85,7.77
1885,Rio De Janeiro,Brazil,23.75,7.92
1886,Rio De Janeiro,Brazil,22.94,7.95
1887,Rio De Janeiro,Brazil,23.49,7.91
1888,Rio De Janeiro,Brazil,23.82,8.09
1889,Rio De Janeiro,Brazil,24.17,8.32
1890,Rio De Janeiro,Brazil,23.38,7.97
1891,Rio De Janeiro,Brazil,23.55,8.02
1892,Rio De Janeiro,Brazil,23.40,8.07
1893,Rio De Janeiro,Brazil,22.68,8.06
1894,Rio De Janeiro,Brazil,23.62,8.16
1895,Rio De Janeiro,Brazil,23.36,8.15
1896,Rio De Janeiro,Brazil,23.35,8.21
1897,Rio De Janeiro,Brazil,23.31,8.29
1898,Rio De Janeiro,Brazil,23.54,8.18
1899,Rio De Janeiro,Brazil,23.95,8.40
1900,Rio De Janeiro,Brazil,23.48,8.50
1901,Rio De Janeiro,Brazil,23.07,8.54
1902,Rio De Janeiro,Brazil,23.99,8.30
1903,Rio De Janeiro,Brazil,23.73,8.22
1904,Rio De Janeiro,Brazil,23.17,8.09
1905,Rio De Janeiro,Brazil,23.84,8.23
1906,Rio De Janeiro,Brazil,23.74,8.38
1907,Rio De Janeiro,Brazil,23.36,7.95
1908,Rio De Janeiro,Brazil,23.57,8.19
1909,Rio De Janeiro,Brazil,23.33,8.18
1910,Rio De Janeiro,Brazil,23.31,8.22
1911,Rio De Janeiro,Brazil,23.36,8.18
1912,Rio De Janeiro,Brazil,23.48,8.17
1913,Rio De Janeiro,Brazil,23.72,8.30
1914,Rio De Janeiro,Brazil,24.28,8.59
1915,Rio De Janeiro,Brazil,24.06,8.59
1916,Rio De Janeiro,Brazil,23.52,8.23
1917,Rio De Janeiro,Brazil,22.62,8.02
1918,Rio De Janeiro,Brazil,23.26,8.13
1919,Rio De Janeiro,Brazil,23.73,8.38
1920,Rio De Janeiro,Brazil,23.64,8.36
1921,Rio De Janeiro,Brazil,23.41,8.57
1922,Rio De Janeiro,Brazil,23.91,8.41
1923,Rio De Janeiro,Brazil,23.85,8.42
1924,Rio De Janeiro,Brazil,23.25,8.51
1925,Rio De Janeiro,Brazil,23.49,8.53
1926,Rio De Janeiro,Brazil,23.83,8.73
1927,Rio De Janeiro,Brazil,23.67,8.52
1928,Rio De Janeiro,Brazil,24.09,8.63
1929,Rio De Janeiro,Brazil,23.80,8.24
1930,Rio De Janeiro,Brazil,24.04,8.63
1931,Rio De Janeiro,Brazil,23.54,8.72
1932,Rio De Janeiro,Brazil,24.23,8.71
1933,Rio De Janeiro,Brazil,23.01,8.34
1934,Rio De Janeiro,Brazil,23.79,8.63
1935,Rio De Janeiro,Brazil,23.89,8.52
1936,Rio De Janeiro,Brazil,24.02,8.55
1937,Rio De Janeiro,Brazil,23.61,8.70
1938,Rio De Janeiro,Brazil,23.92,8.86
1939,Rio De Janeiro,Brazil,23.95,8.76
1940,Rio De Janeiro,Brazil,24.17,8.76
1941,Rio De Janeiro,Brazil,24.22,8.77
1942,Rio De Janeiro,Brazil,23.86,8.73
1943,Rio De Janeiro,Brazil,23.54,8.76
1944,Rio De Janeiro,Brazil,23.85,8.85
1945,Rio De Janeiro,Brazil,23.61,8.58
1946,Rio De Janeiro,Brazil,24.34,8.68
1947,Rio De Janeiro,Brazil,23.63,8.80
1948,Rio De Janeiro,Brazil,24.02,8.75
1949,Rio De Janeiro,Brazil,23.56,8.59
1950,Rio De Janeiro,Brazil,24.03,8.37
1951,Rio De Janeiro,Brazil,23.25,8.63
1952,Rio De Janeiro,Brazil,23.97,8.64
1953,Rio De Janeiro,Brazil,24.01,8.87
1954,Rio De Janeiro,Brazil,24.22,8.56
1955,Rio De Janeiro,Brazil,23.62,8.63
1956,Rio De Janeiro,Brazil,23.47,8.28
1957,Rio De Janeiro,Brazil,23.97,8.73
1958,Rio De Janeiro,Brazil,24.62,8.77
1959,Rio De Janeiro,Brazil,24.61,8.73
1960,Rio De Janeiro,Brazil,23.80,8.58
1961,Rio De Janeiro,Brazil,24.64,8.80
1962,Rio De Janeiro,Brazil,23.44,8.75
1963,Rio De Janeiro,Brazil,24.29,8.86
1964,Rio De Janeiro,Brazil,23.47,8.41
1965,Rio De Janeiro,Brazil,24.30,8.53
1966,Rio De Janeiro,Brazil,24.36,8.60
1967,Rio De Janeiro,Brazil,24.20,8.70
1968,Rio De Janeiro,Brazil,23.30,8.52
1969,Rio De Janeiro,Brazil,24.15,8.60
1970,Rio De Janeiro,Brazil,24.06,8.70
1971,Rio De Janeiro,Brazil,24.00,8.60
1972,Rio De Janeiro,Brazil,24.41,8.50
1973,Rio De Janeiro,Brazil,24.38,8.95
1974,Rio De Janeiro,Brazil,23.92,8.47
1975,Rio De Janeiro,Brazil,23.57,8.74
1976,Rio De Janeiro,Brazil,23.77,8.35
1977,Rio De Janeiro,Brazil,24.64,8.85
1978,Rio De Janeiro,Brazil,24.01,8.69
1979,Rio De Janeiro,Brazil,23.61,8.73
1980,Rio De Janeiro,Brazil,24.35,8.98
1981,Rio De Janeiro,Brazil,24.02,9.17
1982,Rio De Janeiro,Brazil,24.02,8.64
1983,Rio De Janeiro,Brazil,24.14,9.03
1984,Rio De Janeiro,Brazil,24.62,8.69
1985,Rio De Janeiro,Brazil,24.10,8.66
1986,Rio De Janeiro,Brazil,24.75,8.83
1987,Rio De Janeiro,Brazil,24.55,8.99
1988,Rio De Janeiro,Brazil,24.00,9.20
1989,Rio De Janeiro,Brazil,24.07,8.92
1990,Rio De Janeiro,Brazil,24.64,9.23
1991,Rio De Janeiro,Brazil,24.25,9.18
1992,Rio De Janeiro,Brazil,24.24,8.84
1993,Rio De Janeiro,Brazil,24.65,8.87
1994,Rio De Janeiro,Brazil,24.71,9.04
1995,Rio De Janeiro,Brazil,24.77,9.35
1996,Rio De Janeiro,Brazil,24.28,9.04
1997,Rio De Janeiro,Brazil,24.71,9.20
1998,Rio De Janeiro,Brazil,24.78,9.52
1999,Rio De Janeiro,Brazil,24.01,9.29
2000,Rio De Janeiro,Brazil,24.36,9.20
2001,Rio De Janeiro,Brazil,24.99,9.41
2002,Rio De Janeiro,Brazil,25.18,9.57
2003,Rio De Janeiro,Brazil,24.90,9.53
2004,Rio De Janeiro,Brazil,24.24,9.32
2005,Rio De Janeiro,Brazil,24.79,9.70
2006,Rio De Janeiro,Brazil,24.57,9.53
2007,Rio De Janeiro,Brazil,24.78,9.73
2008,Rio De Janeiro,Brazil,24.26,9.43
2009,Rio De Janeiro,Brazil,24.98,9.51
2010,Rio De Janeiro,Brazil,24.95,9.70
2011,Rio De Janeiro,Brazil,24.32,9.52
2012,Rio De Janeiro,Brazil,24.84,9.51
2013,Rio De Janeiro,Brazil,25.19,9.61
1832,Salvador,Brazil,23.83,7.45
1833,Salvador,Brazil,24.60,8.01
1834,Salvador,Brazil,24.25,8.15
1835,Salvador,Brazil,23.51,7.39
1836,Salvador,Brazil,23.84,7.70
1837,Salvador,Brazil,23.44,7.38
1838,Salvador,Brazil,23.67,7.51
1839,Salvador,Brazil,23.65,7.63
1840,Salvador,Brazil,24.08,7.80
1841,Salvador,Brazil,23.86,7.69
1842,Salvador,Brazil,24.27,8.02
1843,Salvador,Brazil,24.39,8.17
1844,Salvador,Brazil,,7.65
1845,Salvador,Brazil,,7.85
1846,Salvador,Brazil,,8.55
1847,Salvador,Brazil,,8.09
1848,Salvador,Brazil,,7.98
1849,Salvador,Brazil,,7.98
1850,Salvador,Brazil,,7.90
1851,Salvador,Brazil,24.34,8.18
1852,Salvador,Brazil,24.38,8.10
1853,Salvador,Brazil,24.38,8.04
1854,Salvador,Brazil,24.51,8.21
1855,Salvador,Brazil,24.57,8.11
1856,Salvador,Brazil,23.86,8.00
1857,Salvador,Brazil,24.00,7.76
1858,Salvador,Brazil,23.77,8.10
1859,Salvador,Brazil,24.19,8.25
1860,Salvador,Brazil,24.48,7.96
1861,Salvador,Brazil,23.98,7.85
1862,Salvador,Brazil,23.75,7.56
1863,Salvador,Brazil,24.08,8.11
1864,Salvador,Brazil,23.99,7.98
1865,Salvador,Brazil,23.99,8.18
1866,Salvador,Brazil,24.15,8.29
1867,Salvador,Brazil,24.38,8.44
1868,Salvador,Brazil,24.67,8.25
1869,Salvador,Brazil,24.80,8.43
1870,Salvador,Brazil,24.65,8.20
1871,Salvador,Brazil,24.48,8.12
1872,Salvador,Brazil,24.40,8.19
1873,Salvador,Brazil,24.63,8.35
1874,Salvador,Brazil,24.43,8.43
1875,Salvador,Brazil,23.90,7.86
1876,Salvador,Brazil,24.06,8.08
1877,Salvador,Brazil,24.60,8.54
1878,Salvador,Brazil,25.16,8.83
1879,Salvador,Brazil,24.07,8.17
1880,Salvador,Brazil,24.62,8.12
1881,Salvador,Brazil,24.27,8.27
1882,Salvador,Brazil,23.95,8.13
1883,Salvador,Brazil,24.00,7.98
1884,Salvador,Brazil,23.77,7.77
1885,Salvador,Brazil,24.37,7.92
1886,Salvador,Brazil,23.99,7.95
1887,Salvador,Brazil,24.24,7.91
1888,Salvador,Brazil,24.46,8.09
1889,Salvador,Brazil,24.76,8.32
1890,Salvador,Brazil,24.23,7.97
1891,Salvador,Brazil,24.27,8.02
1892,Salvador,Brazil,24.22,8.07
1893,Salvador,Brazil,23.90,8.06
1894,Salvador,Brazil,24.45,8.16
1895,Salvador,Brazil,24.16,8.15
1896,Salvador,Brazil,24.25,8.21
1897,Salvador,Brazil,24.11,8.29
1898,Salvador,Brazil,24.54,8.18
1899,Salvador,Brazil,24.17,8.40
1900,Salvador,Brazil,24.66,8.50
1901,Salvador,Brazil,24.37,8.54
1902,Salvador,Brazil,24.64,8.30
1903,Salvador,Brazil,24.59,8.22
1904,Salvador,Brazil,23.85,8.09
1905,Salvador,Brazil,24.64,8.23
1906,Salvador,Brazil,24.33,8.38
1907,Salvador,Brazil,24.39,7.95
1908,Salvador,Brazil,24.86,8.19
1909,Salvador,Brazil,24.56,8.18
1910,Salvador,Brazil,24.45,8.22
1911,Salvador,Brazil,24.50,8.18
1912,Salvador,Brazil,24.51,8.17
1913,Salvador,Brazil,24.69,8.30
1914,Salvador,Brazil,24.38,8.59
1915,Salvador,Brazil,24.72,8.59
1916,Salvador,Brazil,24.23,8.23
1917,Salvador,Brazil,23.97,8.02
1918,Salvador,Brazil,24.20,8.13
1919,Salvador,Brazil,24.42,8.38
1920,Salvador,Brazil,24.40,8.36
1921,Salvador,Brazil,24.35,8.57
1922,Salvador,Brazil,24.61,8.41
1923,Salvador,Brazil,24.56,8.42
1924,Salvador,Brazil,24.45,8.51
1925,Salvador,Brazil,24.57,8.53
1926,Salvador,Brazil,24.67,8.73
1927,Salvador,Brazil,24.84,8.52
1928,Salvador,Brazil,24.75,8.63
1929,Salvador,Brazil,24.69,8.24
1930,Salvador,Brazil,24.54,8.63
1931,Salvador,Brazil,24.73,8.72
1932,Salvador,Brazil,24.81,8.71
1933,Salvador,Brazil,24.44,8.34
1934,Salvador,Brazil,24.59,8.63
1935,Salvador,Brazil,24.91,8.52
1936,Salvador,Brazil,24.65,8.55
1937,Salvador,Brazil,24.89,8.70
1938,Salvador,Brazil,24.93,8.86
1939,Salvador,Brazil,24.98,8.76
1940,Salvador,Brazil,24.84,8.76
1941,Salvador,Brazil,25.00,8.77
1942,Salvador,Brazil,24.82,8.73
1943,Salvador,Brazil,24.25,8.76
1944,Salvador,Brazil,24.39,8.85
1945,Salvador,Brazil,24.52,8.58
